id,No_of_files,size_conv,CSV,Other,Upvotes,Medals,Month_since,Day,Usability,Date,,
84,1,1000,Y,N,21,No Medal,14,Fri,4.7,2/3/2017,,
85,17,2000000,Y,N,24,Bronze,14,Sun,8.2,2/5/2017,,
86,1,10000000,Y,N,142,Silver,14,Tue,7.1,2/7/2017,,
87,18,3000000,Y,N,115,Bronze,14,Tue,8.5,2/7/2017,,
88,1,21000,Y,N,56,Bronze,14,Thu,7.1,2/9/2017,,
89,8,13000000,Y,N,93,Bronze,14,Mon,7.1,2/13/2017,,
90,2,152000,Y,N,78,Bronze,14,Thu,8.5,2/16/2017,,
91,3,51000,Y,N,125,Bronze,14,Sat,7.4,2/18/2017,,
92,1,3000,Y,N,24,No Medal,14,Sun,8.2,2/19/2017,,
93,4,12000000,Y,Y,238,Silver,14,Tue,7.1,2/21/2017,,
94,32,117000000,Y,Y,194,Bronze,14,Tue,7.9,2/21/2017,,
95,4,32000000,Y,N,1268,Gold,14,Wed,8.5,2/22/2017,,
96,1,99000000,Y,N,345,Gold,14,Tue,8.5,2/28/2017,,
97,2,239000,Y,N,207,Silver,15,Wed,8.2,3/1/2017,,
98,5,84000000,Y,N,27,No Medal,15,Fri,8.2,3/3/2017,,
99,2,30000,Y,Y,84,Bronze,15,Sun,8.5,3/5/2017,,
100,2,732000,Y,Y,270,Silver,15,Sun,8.5,3/5/2017,,
101,1,151000000,Y,N,116,Bronze,15,Mon,8.2,3/6/2017,,
102,1,27000000,Y,N,46,Bronze,15,Mon,8.8,3/6/2017,,
103,4,268000,Y,N,51,Bronze,15,Wed,8.2,3/8/2017,,
104,1,1000,Y,N,20,No Medal,15,Fri,7.4,3/10/2017,,
105,8,77000,Y,N,114,Silver,15,Fri,6.5,3/10/2017,,
106,1,1000000,N,Y,3,No Medal,15,Fri,7.6,3/10/2017,,
107,1,3000,Y,N,90,Bronze,15,Sat,6.5,3/11/2017,,
108,1,2000000,Y,N,117,Silver,15,Wed,7.1,3/15/2017,,
