id,No_of_files,size_conv,CSV,Other,Upvotes,Medals,Month_since,Day,Usability,Date,,
2003,2,445000,Y,N,164,Gold,52,Sun,10,4/5/2020,,
2004,1,1000,Y,N,3,No Medal,52,Sun,8.8,4/5/2020,,
2005,1,145000,Y,N,4,No Medal,52,Sun,9.7,4/5/2020,,
2006,2601,83000000,N,Y,74,Bronze,52,Mon,9.4,4/6/2020,,
2007,1,96000,Y,N,6,No Medal,52,Mon,8.8,4/6/2020,,
2008,2,16000000,Y,N,11,Bronze,52,Mon,9.4,4/6/2020,,
2009,2,10000,Y,N,60,Bronze,52,Mon,8.8,4/6/2020,,
2010,100,29000000,N,Y,54,Bronze,52,Tue,8.8,4/7/2020,,
2011,8827,3000000000,N,Y,56,Silver,52,Tue,8.8,4/7/2020,,
2012,2,95000000,N,Y,20,No Medal,52,Tue,4.4,4/7/2020,,
2013,34627,24000000,N,Y,32,Bronze,52,Tue,8.1,4/7/2020,,
2014,1,63000,Y,N,10,No Medal,52,Tue,1.8,4/7/2020,,
2015,1,485000000,Y,N,53,Bronze,52,Tue,10,4/7/2020,,
2016,2,19000000,Y,N,17,Bronze,52,Tue,8.8,4/7/2020,,
2017,1,4000000,Y,N,33,Bronze,52,Wed,8.2,4/8/2020,,
2018,747,90000000,N,Y,93,Bronze,52,Thu,8.8,4/9/2020,,
2019,1,4000,Y,N,16,No Medal,52,Thu,8.8,4/9/2020,,
2020,5,23000000,N,Y,123,Silver,52,Fri,10,4/10/2020,,
2021,5000,9000000000,N,Y,41,No Medal,52,Fri,6.9,4/10/2020,,
2022,1,4000,Y,N,15,Bronze,52,Fri,3.5,4/10/2020,,
2023,4,4000,Y,N,15,Bronze,52,Fri,10,4/10/2020,,
2024,192312,6000000000,N,Y,20,No Medal,52,Fri,8.1,4/10/2020,,
2025,814,27000000,N,Y,36,No Medal,52,Fri,8.8,4/10/2020,,
2026,1,5000,Y,N,905,Gold,52,Sat,10,4/11/2020,,
2027,1,63000,Y,N,44,Silver,52,Sat,8.2,4/11/2020,,
2028,4,304000000,N,Y,103,Gold,52,Sun,7.5,4/12/2020,,
2029,8,152000,Y,Y,47,Bronze,52,Sun,9.7,4/12/2020,,
2030,1,339000,Y,N,16,No Medal,52,Sun,10,4/12/2020,,
2031,4,563000,Y,N,33,Bronze,52,Sun,10,4/12/2020,,
2032,1,552000,Y,N,592,Gold,52,Mon,10,4/13/2020,,
2033,76,155000000,Y,Y,444,Silver,52,Mon,8.8,4/13/2020,,
2034,2650,556000000,N,Y,14,No Medal,52,Mon,4.4,4/13/2020,,
2035,25000,2000000000,N,Y,131,Silver,52,Tue,8.8,4/14/2020,,
2036,2,24000000,Y,N,287,Gold,52,Tue,10,4/14/2020,,
2037,750,1000000,N,Y,19,No Medal,52,Tue,5.6,4/14/2020,,
2038,2,16000,Y,N,9,No Medal,52,Tue,8.2,4/14/2020,,
2039,1,374,Y,N,8,No Medal,52,Tue,6.5,4/14/2020,,
2040,3,11000000,Y,N,31,Bronze,52,Tue,8.8,4/14/2020,,
2041,2,24000,Y,N,90,Silver,52,Tue,10,4/14/2020,,
2042,5,833000,Y,Y,55,Bronze,52,Wed,9.7,4/15/2020,,
2043,9,10000,Y,N,172,Silver,52,Wed,9.4,4/15/2020,,
2044,8,14000000,Y,N,14,Bronze,52,Wed,9.7,4/15/2020,,
2045,3,738000,N,Y,208,Gold,52,Thu,10,4/16/2020,,
2046,1,3000,Y,N,31,No Medal,52,Thu,4.1,4/16/2020,,
2047,3,22000000,Y,N,76,Bronze,52,Thu,9.4,4/16/2020,,
2048,2,36000,Y,N,22,Bronze,52,Thu,7.6,4/16/2020,,
2049,8,684000000,N,Y,88,Gold,52,Thu,9.4,4/16/2020,,
2050,1,62000,Y,N,39,Bronze,52,Fri,6.5,4/17/2020,,
2051,20,409000000,N,Y,52,Silver,52,Fri,10,4/17/2020,,
2052,5999,194000000,Y,Y,28,Bronze,52,Fri,9.4,4/17/2020,,
2053,17,736000,Y,N,8,No Medal,52,Fri,10,4/17/2020,,
2054,1,2000000000,N,Y,4,No Medal,52,Sat,3.8,4/18/2020,,
2055,1,15000,Y,N,74,Bronze,52,Sat,10,4/18/2020,,
2056,5002,7000000000,Y,Y,69,Bronze,52,Sat,8.8,4/18/2020,,
2057,1,29000000,Y,N,10,No Medal,52,Sat,2.9,4/18/2020,,
2058,1,5000000,Y,N,81,Bronze,52,Sat,10,4/18/2020,,
2059,1,1000000,Y,N,26,Bronze,52,Sat,10,4/18/2020,,
2060,1,761000,Y,N,27,No Medal,52,Sat,7.1,4/18/2020,,
2061,5,610000,Y,Y,14,Bronze,52,Sun,6.5,4/19/2020,,
2062,129091,3000000000,N,Y,3,No Medal,52,Sun,1.9,4/19/2020,,
2063,14360,105000000,N,Y,21,Bronze,52,Sun,8.8,4/19/2020,,
2064,16876,30000000,N,Y,16,Bronze,52,Sun,3.8,4/19/2020,,
2065,2,74000,Y,N,51,Bronze,52,Sun,10,4/19/2020,,
2066,1,3000,Y,N,7,No Medal,52,Sun,3.5,4/19/2020,,
2067,2,12000000,Y,N,56,Bronze,52,Mon,7.1,4/20/2020,,
2068,1,98000000,Y,N,113,Silver,52,Mon,10,4/20/2020,,
2069,232,98000000,N,Y,46,Bronze,52,Mon,8.8,4/20/2020,,
2070,3,13000000,Y,N,84,Bronze,52,Mon,10,4/20/2020,,
2071,7,388000000,N,Y,16,Bronze,52,Mon,7.5,4/20/2020,,
2072,1,159000,Y,N,30,Bronze,52,Tue,10,4/21/2020,,
2073,1,67000,Y,N,324,Silver,52,Wed,10,4/22/2020,,
2074,3,18000,Y,N,105,Bronze,52,Wed,10,4/22/2020,,
2075,58954,89000000,N,Y,85,Silver,52,Wed,8.8,4/22/2020,,
2076,1,6000,Y,N,9,No Medal,52,Wed,1.8,4/22/2020,,
2077,1,4000,N,Y,6,No Medal,52,Wed,10,4/22/2020,,
2078,1,12000000,Y,N,20,Bronze,52,Wed,7.6,4/22/2020,,
2079,81,1000000000,Y,Y,519,Gold,52,Thu,10,4/23/2020,,
2080,1,493000,Y,N,32,No Medal,52,Thu,6.5,4/23/2020,,
2081,22768,6000000000,Y,Y,34,Bronze,52,Thu,7.9,4/23/2020,,
2082,389767,586000000,N,Y,31,Bronze,52,Thu,7.5,4/23/2020,,
2083,1,126000,Y,N,22,Bronze,52,Thu,9.4,4/23/2020,,
2084,1201,9000000,Y,Y,22,Bronze,52,Thu,8.2,4/23/2020,,
2085,11001,188000000,N,Y,128,Silver,52,Fri,6.9,4/24/2020,,
2086,1284,67000000,N,Y,35,No Medal,52,Fri,8.1,4/24/2020,,
2087,6193,852000000,Y,Y,37,Bronze,52,Fri,5.9,4/24/2020,,
2088,6,337000000,Y,Y,53,Bronze,52,Fri,5.3,4/24/2020,,
2089,1,2000,Y,N,21,No Medal,52,Sat,2.9,4/25/2020,,
2090,27,3000000000,N,Y,34,Silver,52,Sat,6.3,4/25/2020,,
2091,1,3000,Y,N,5,No Medal,52,Sat,10,4/25/2020,,
2092,32,2000000,Y,Y,5,No Medal,52,Sat,1.8,4/25/2020,,
2093,32,6000000,Y,Y,4,No Medal,52,Sat,1.2,4/25/2020,,
2094,1,4000,N,Y,4,No Medal,52,Sat,9.4,4/25/2020,,
2095,18,290000,Y,N,129,Silver,52,Sun,10,4/26/2020,,
2096,4,4000000,N,Y,7,No Medal,52,Sun,3.8,4/26/2020,,
2097,1,1000000,Y,N,3,No Medal,52,Sun,9.4,4/26/2020,,
2098,16170,168000000,N,Y,27,Bronze,52,Sun,8.8,4/26/2020,,
2099,8092,1000000000,N,Y,204,Gold,52,Mon,7.5,4/27/2020,,
2100,63568,9000000000,Y,Y,8,No Medal,52,Mon,6.3,4/27/2020,,
2101,1,72000,Y,N,3,No Medal,52,Mon,10,4/27/2020,,
2102,1,44000,Y,N,38,Bronze,52,Tue,9.7,4/28/2020,,
2103,1,50000,Y,N,12,No Medal,52,Tue,4.1,4/28/2020,,
2104,1,513000,Y,N,20,No Medal,52,Tue,10,4/28/2020,,
2105,1,4000,Y,N,95,Silver,52,Wed,10,4/29/2020,,
2106,317,166000000,N,Y,164,Silver,52,Wed,8.8,4/29/2020,,
2107,1,20000,Y,N,77,Bronze,52,Wed,9.7,4/29/2020,,
2108,24,12000000,Y,N,110,Bronze,52,Wed,8.2,4/29/2020,,
2109,2,173000,Y,N,215,Silver,52,Thu,10,4/30/2020,,
2110,2,4000,Y,N,27,No Medal,52,Thu,10,4/30/2020,,
2111,1,380000000,Y,N,38,Bronze,52,Thu,8.8,4/30/2020,,
2112,14,365000,N,Y,7,No Medal,52,Thu,5,4/30/2020,,
2113,6,2000000,Y,Y,55,Silver,53,Fri,7.1,5/1/2020,,
2114,3,32000000,Y,N,41,Bronze,53,Fri,10,5/1/2020,,
2115,3,50000,Y,N,33,Bronze,53,Fri,10,5/1/2020,,
2116,1,2000,Y,N,43,Bronze,53,Sat,10,5/2/2020,,
2117,24963,826000000,N,Y,49,Bronze,53,Sat,6.3,5/2/2020,,
2118,3,194000,Y,Y,20,No Medal,53,Sat,5.3,5/2/2020,,
2119,2,2000,Y,N,48,Bronze,53,Sat,9.1,5/2/2020,,
2120,3,26000,Y,N,25,Silver,53,Sat,10,5/2/2020,,
2121,15,992000000,Y,N,45,Bronze,53,Sat,10,5/2/2020,,
2122,1,3000000,Y,N,50,Bronze,53,Sun,10,5/3/2020,,
2123,1,384,Y,N,15,No Medal,53,Sun,8.2,5/3/2020,,
2124,7,120000,Y,N,21,No Medal,53,Sun,9.7,5/3/2020,,
2125,10054,1000000000,N,Y,27,Bronze,53,Sun,7.5,5/3/2020,,
2126,8,12000000,Y,N,31,Bronze,53,Mon,8.2,5/4/2020,,
2127,4,772000,Y,N,148,Silver,53,Mon,8.8,5/4/2020,,
2128,1403,603000000,Y,Y,79,Silver,53,Tue,9.4,5/5/2020,,
2129,2,152000,Y,N,56,Bronze,53,Tue,10,5/5/2020,,
2130,4,4000000,Y,N,47,Bronze,53,Tue,8.8,5/5/2020,,
2131,1,425000,N,Y,6,Bronze,53,Tue,4.4,5/5/2020,,
2132,6,3000000,N,Y,4,No Medal,53,Wed,1.9,5/6/2020,,
2133,13,10000,Y,N,31,Bronze,53,Wed,9.1,5/6/2020,,
2134,7868,260000000,Y,Y,27,Bronze,53,Wed,9.1,5/6/2020,,
2135,3,4000000,Y,N,11,No Medal,53,Wed,9.4,5/6/2020,,
2136,1,17000000,Y,N,1,No Medal,53,Wed,7.1,5/6/2020,,
2137,505,16000000,N,Y,7,No Medal,53,Wed,1.9,5/6/2020,,
2138,1,6000,Y,N,23,No Medal,53,Thu,2.4,5/7/2020,,
2139,2,34000000,Y,N,24,Bronze,53,Thu,10,5/7/2020,,
2140,1,25000,Y,N,12,No Medal,53,Thu,7.1,5/7/2020,,
2141,37288,991000000,N,Y,72,Silver,53,Thu,8.8,5/7/2020,,
2142,2,360000,Y,Y,212,Silver,53,Fri,9.1,5/8/2020,,
2143,1,767000000,Y,N,190,Silver,53,Fri,8.2,5/8/2020,,
2144,5,6000000,Y,N,83,Bronze,53,Fri,9.4,5/8/2020,,
2145,2,371000,Y,N,122,Bronze,53,Fri,8.5,5/8/2020,,
2146,733,381000000,N,Y,29,Bronze,53,Fri,9.4,5/8/2020,,
2147,704,9000000000,N,Y,34,Silver,53,Fri,1.9,5/8/2020,,
2148,1,4000,Y,N,41,Bronze,53,Sat,8.2,5/9/2020,,
2149,1,48000,Y,N,17,Bronze,53,Sat,7.1,5/9/2020,,
2150,1,2000,Y,N,82,Silver,53,Sat,8.8,5/9/2020,,
2151,1,7000000,Y,N,60,Bronze,53,Sun,10,5/10/2020,,
2152,1,766000,Y,N,69,Gold,53,Sun,5.9,5/10/2020,,
2153,1,974,Y,N,60,Silver,53,Sun,10,5/10/2020,,
2154,6,278000,Y,N,34,Bronze,53,Sun,10,5/10/2020,,
2155,2,1000,Y,Y,5,No Medal,53,Sun,8.8,5/10/2020,,
2156,2,221000,N,Y,2,No Medal,53,Sun,1.9,5/10/2020,,
2157,3,88000,Y,N,61,Bronze,53,Sun,9.7,5/10/2020,,
2158,14468,2000000000,N,Y,37,Bronze,53,Mon,7.5,5/11/2020,,
2159,5,682000,Y,N,33,Bronze,53,Mon,8.8,5/11/2020,,
2160,2750,12000000000,N,Y,63,Bronze,53,Tue,8.8,5/12/2020,,
2161,3,3000000,Y,Y,79,Bronze,53,Tue,10,5/12/2020,,
2162,1,2000000000,N,Y,83,Bronze,53,Tue,7.1,5/12/2020,,
2163,1,1000000,Y,N,5,No Medal,53,Tue,1.8,5/12/2020,,
2164,1,2000,Y,N,168,Bronze,53,Tue,10,5/12/2020,,
2165,3,114000000,Y,Y,30,Bronze,53,Tue,8.2,5/12/2020,,
2166,1,4000,Y,N,26,Bronze,53,Tue,8.8,5/12/2020,,
2167,1,176000000,N,Y,1107,Gold,53,Wed,8.2,5/13/2020,,
2168,7372,1000000000,N,Y,57,Bronze,53,Wed,8.8,5/13/2020,,
2169,1,78000,Y,N,9,No Medal,53,Wed,10,5/13/2020,,
2170,3,2000000000,Y,N,54,Bronze,53,Wed,10,5/13/2020,,
2171,1,73000,Y,N,32,Silver,53,Thu,10,5/14/2020,,
2172,1,278000,N,Y,32,Silver,53,Thu,1.9,5/14/2020,,
2173,1,25000,Y,N,31,Bronze,53,Thu,10,5/14/2020,,
2174,30816,2000000000,N,Y,25,No Medal,53,Thu,1.3,5/14/2020,,
2175,2,30000,Y,N,145,Bronze,53,Fri,8.2,5/15/2020,,
2176,359,253000000,Y,Y,223,Silver,53,Fri,9.4,5/15/2020,,
2177,371,184000000,N,Y,34,Bronze,53,Fri,8.8,5/15/2020,,
2178,6,291000,N,Y,36,Bronze,53,Fri,10,5/15/2020,,
2179,1,319,Y,N,20,No Medal,53,Fri,7.6,5/15/2020,,
2180,2,6000,Y,N,149,Silver,53,Sat,9.1,5/16/2020,,
2181,1,152000,Y,N,58,Bronze,53,Sat,10,5/16/2020,,
2182,12,4000000000,Y,Y,68,Bronze,53,Sat,9.1,5/16/2020,,
2183,1,205000,Y,N,288,Gold,53,Sun,10,5/17/2020,,
2184,72,132000,N,Y,32,Silver,53,Mon,1.9,5/18/2020,,
2185,5682,259000000,N,Y,77,Silver,53,Mon,8.8,5/18/2020,,
2186,1,4000000,Y,N,15,Bronze,53,Mon,8.8,5/18/2020,,
2187,8,388000000,Y,N,241,Silver,53,Mon,7.9,5/18/2020,,
2188,1,10000000,Y,N,11,No Medal,53,Mon,1.8,5/18/2020,,
2189,5856,1000000000,N,Y,73,Silver,53,Mon,9.4,5/18/2020,,
2190,28,60000,N,Y,60,Silver,53,Mon,1.9,5/18/2020,,
2191,87,14000000,N,Y,71,Silver,53,Tue,7.5,5/19/2020,,
2192,2,22000,Y,N,12,No Medal,53,Tue,9.4,5/19/2020,,
2193,1,250000,Y,N,81,Bronze,53,Thu,10,5/21/2020,,
2194,1,125000,Y,N,16,No Medal,53,Thu,4.7,5/21/2020,,
2195,2,21000000,Y,N,31,No Medal,53,Thu,8.5,5/21/2020,,
2196,11683,208000000,N,Y,16,No Medal,53,Thu,3.8,5/21/2020,,
2197,1706,417000000,N,Y,1548,Gold,53,Fri,8.8,5/22/2020,,
2198,16130,730000000,N,Y,193,Gold,53,Fri,8.8,5/22/2020,,
2199,1,45000,N,Y,12,No Medal,53,Fri,0.6,5/22/2020,,
2200,3,23000000,Y,N,6,No Medal,53,Fri,8.8,5/22/2020,,
2201,202599,1000000000,N,Y,40,Bronze,53,Sat,8.1,5/23/2020,,
2202,4,31000,Y,N,274,Silver,53,Sun,9.7,5/24/2020,,
2203,1754,229000000,N,Y,138,Silver,53,Sun,8.8,5/24/2020,,
2204,2,11000,Y,N,169,Silver,53,Sun,10,5/24/2020,,
2205,1098,157000000,N,Y,60,Silver,53,Sun,4.4,5/24/2020,,
2206,2,261000,Y,Y,28,No Medal,53,Sun,9.4,5/24/2020,,
2207,240,724000,N,Y,16,Bronze,53,Sun,7.5,5/24/2020,,
2208,5,24000000,Y,N,85,Silver,53,Sun,10,5/24/2020,,
2209,1,23000,Y,N,173,Gold,53,Mon,10,5/25/2020,,
2210,3008,469000000,N,Y,109,Silver,53,Mon,7.5,5/25/2020,,
2211,5,1000000,Y,N,51,Silver,53,Mon,6.5,5/25/2020,,
2212,1,546000000,N,Y,4,No Medal,53,Mon,3.8,5/25/2020,,
2213,2,81000,Y,N,189,Gold,53,Mon,10,5/25/2020,,
2214,2,97000,Y,N,170,Silver,53,Mon,10,5/25/2020,,
2215,172,2000000000,N,Y,25,Bronze,53,Mon,8.8,5/25/2020,,
2216,11792,346000000,N,Y,266,Gold,53,Tue,8.8,5/26/2020,,
2217,1,619000,Y,N,35,Bronze,53,Tue,7.1,5/26/2020,,
2218,1,5000,Y,N,25,Bronze,53,Tue,10,5/26/2020,,
2219,1,3000,Y,N,11,No Medal,53,Tue,5.3,5/26/2020,,
2220,1,3000000,Y,N,78,Bronze,53,Wed,9.4,5/27/2020,,
2221,273640,2000000000,N,Y,48,Bronze,53,Wed,4.4,5/27/2020,,
2222,3,268000,Y,Y,46,Bronze,53,Wed,8.8,5/27/2020,,
2223,1,688000,Y,N,36,Bronze,53,Wed,10,5/27/2020,,
2224,1,23000,Y,N,59,Bronze,53,Wed,8.8,5/27/2020,,
2225,1,3000000,Y,N,30,Silver,53,Wed,10,5/27/2020,,
2226,6,9000000,Y,Y,8,No Medal,53,Wed,5.3,5/27/2020,,
2227,7,925000,Y,Y,192,Gold,53,Thu,10,5/28/2020,,
2228,25335,10000000000,Y,Y,121,Silver,53,Thu,9.4,5/28/2020,,
2229,1,355,Y,N,17,Bronze,53,Thu,10,5/28/2020,,
2230,1,207000,Y,N,36,Bronze,53,Thu,8.8,5/28/2020,,
2231,2,2000000,Y,N,15,No Medal,53,Thu,9.4,5/28/2020,,
2232,2,523000,Y,Y,15,No Medal,53,Thu,8.2,5/28/2020,,
2233,1,405000000,N,Y,11,No Medal,53,Thu,8.8,5/28/2020,,
2234,145,31000000,N,Y,110,Silver,53,Fri,7.5,5/29/2020,,
2235,2,9000000,Y,Y,18,No Medal,53,Fri,8.8,5/29/2020,,
2236,2481,242000000,N,Y,207,Silver,53,Sat,8.8,5/30/2020,,
2237,100,7000000,N,Y,6,No Medal,53,Sat,5.6,5/30/2020,,
2238,23,485000,N,Y,31,Bronze,53,Sat,10,5/30/2020,,
2239,2,7000000,Y,Y,9,No Medal,53,Sun,7.6,5/31/2020,,
2240,6,44000,Y,N,10,No Medal,53,Sun,3.5,5/31/2020,,
2241,8,23000000,Y,N,14,No Medal,53,Sun,10,5/31/2020,,
2242,864,213000000,N,Y,393,Gold,54,Mon,8.8,6/1/2020,,
2243,1528,410000000,N,Y,79,Bronze,54,Mon,8.8,6/1/2020,,
2244,2,768000,Y,Y,26,Bronze,54,Mon,7.1,6/1/2020,,
2245,65307,917000000,N,Y,25,Bronze,54,Mon,8.8,6/1/2020,,
2246,1,377000,Y,N,93,Bronze,54,Tue,7.1,6/2/2020,,
2247,1,262000,Y,N,40,Bronze,54,Tue,10,6/2/2020,,
2248,1242,128000000,N,Y,38,Bronze,54,Tue,8.8,6/2/2020,,
2249,1,4000000,Y,N,47,Silver,54,Tue,7.1,6/2/2020,,
2250,2,33000000,Y,N,27,Bronze,54,Tue,4.1,6/2/2020,,
2251,1,132000,Y,N,14,No Medal,54,Tue,8.2,6/2/2020,,
2252,1,3000,Y,N,66,Bronze,54,Wed,8.2,6/3/2020,,
2253,4,163000,Y,N,51,Bronze,54,Wed,7.1,6/3/2020,,
2254,3,8000000,Y,Y,40,Bronze,54,Thu,7.1,6/4/2020,,
2255,5,323000,Y,N,31,Bronze,54,Thu,2.9,6/4/2020,,
2256,3,102000,Y,N,37,No Medal,54,Thu,10,6/4/2020,,
2257,1,14000000,Y,N,378,Gold,54,Fri,10,6/5/2020,,
2258,3,15000000,Y,Y,29,No Medal,54,Fri,7.6,6/5/2020,,
2259,1,1000000,Y,N,29,No Medal,54,Fri,5.3,6/5/2020,,
2260,1,3000,Y,N,23,No Medal,54,Fri,5.3,6/5/2020,,
2261,1,6000000,Y,N,43,Bronze,54,Fri,10,6/5/2020,,
2262,6,51000,Y,N,83,Bronze,54,Fri,9.1,6/5/2020,,
2263,4319,650000000,N,Y,173,Silver,54,Sat,8.8,6/6/2020,,
2264,1,206000,Y,N,183,Gold,54,Sat,10,6/6/2020,,
2265,1,1000,Y,N,12,Bronze,54,Sat,6.5,6/6/2020,,
2266,5,39000000,Y,N,108,Silver,54,Sat,9.4,6/6/2020,,
2267,8,13000,N,Y,75,Gold,54,Sat,1.9,6/6/2020,,
2268,127680,174000000,N,Y,66,Bronze,54,Sat,3.8,6/6/2020,,
2269,3999566,14000000000,N,Y,45,Bronze,54,Sat,7.5,6/6/2020,,
2270,1,2000000,Y,N,41,Bronze,54,Sun,7.1,6/7/2020,,
2271,4,87000000,N,Y,26,Bronze,54,Mon,6.9,6/8/2020,,
2272,2,1000000,Y,N,64,Bronze,54,Mon,10,6/8/2020,,
2273,48631,1000000000,Y,Y,64,Gold,54,Mon,3.5,6/8/2020,,
2274,1000,1000000,N,Y,17,No Medal,54,Mon,7.5,6/8/2020,,
2275,1,389000,Y,N,21,No Medal,54,Mon,7.9,6/8/2020,,
2276,1,222000,Y,N,46,Bronze,54,Mon,9.7,6/8/2020,,
2277,2,12000,Y,N,316,Gold,54,Tue,9.7,6/9/2020,,
2278,2,126000,Y,N,118,Silver,54,Tue,10,6/9/2020,,
2279,1330,351000000,N,Y,24,Bronze,54,Tue,8.8,6/9/2020,,
2280,2971,59000000,N,Y,22,No Medal,54,Tue,8.1,6/9/2020,,
2281,2355,32000000,Y,Y,13,No Medal,54,Wed,5.3,6/10/2020,,
2282,57135,3000000000,Y,Y,20,No Medal,54,Wed,9.4,6/10/2020,,
2283,6,38000,Y,N,75,Bronze,54,Thu,10,6/11/2020,,
2284,39997,4000000000,N,Y,24,Bronze,54,Thu,6.3,6/11/2020,,
2285,4173,425000000,N,Y,26,Bronze,54,Thu,8.8,6/11/2020,,
2286,3,104000,Y,N,35,Bronze,54,Fri,10,6/12/2020,,
2287,30763,12000000000,N,Y,104,Silver,54,Sat,9.4,6/13/2020,,
2288,1,8000,Y,N,12,No Medal,54,Sat,7.6,6/13/2020,,
2289,1,61000,N,Y,72,Bronze,54,Sun,10,6/14/2020,,
2290,6,7000000,Y,N,33,No Medal,54,Sun,5.9,6/14/2020,,
2291,10005,4000000000,N,Y,54,Silver,54,Sun,3.8,6/14/2020,,
2292,5,42000,Y,Y,35,Bronze,54,Sun,8.8,6/14/2020,,
2293,71475,5000000000,Y,Y,109,Gold,54,Sun,2.9,6/14/2020,,
2294,1,138000000,N,Y,55,Silver,54,Mon,4.4,6/15/2020,,
2295,10353,3000000000,Y,Y,166,Silver,54,Mon,4.1,6/15/2020,,
2296,1,3000000,Y,N,81,Silver,54,Mon,10,6/15/2020,,
2297,20688,506000000,N,Y,15,Bronze,54,Mon,8.8,6/15/2020,,
2298,43674,1000000000,N,Y,17,Bronze,54,Mon,8.8,6/15/2020,,
2299,13754,864000000,N,Y,8,No Medal,54,Mon,8.8,6/15/2020,,
2300,6906,425000000,N,Y,23,Bronze,54,Mon,8.8,6/15/2020,,
2301,148,592000000,N,Y,9,No Medal,54,Mon,8.8,6/15/2020,,
2302,1032,933000000,N,Y,11,No Medal,54,Mon,6.9,6/15/2020,,
2303,1,11000,Y,N,23,No Medal,54,Mon,10,6/15/2020,,
2304,1,232000,Y,N,6,No Medal,54,Mon,4.1,6/15/2020,,
2305,12,105000,N,Y,47,Bronze,54,Mon,7.1,6/15/2020,,
2306,5,27000,N,Y,47,Silver,54,Tue,2.5,6/16/2020,,
2307,2,5000,Y,N,145,Silver,54,Wed,8.2,6/17/2020,,
2308,1,111000000,Y,N,56,Bronze,54,Wed,10,6/17/2020,,
2309,1,39000,Y,N,25,No Medal,54,Wed,2.9,6/17/2020,,
2310,1,133000,Y,N,153,Silver,54,Wed,10,6/17/2020,,
2311,1,1000000,Y,N,89,Silver,54,Thu,9.4,6/18/2020,,
2312,2,7000000,Y,N,190,Silver,54,Thu,10,6/18/2020,,
2313,18827,5000000000,N,Y,3,No Medal,54,Thu,1.9,6/18/2020,,
2314,3644,174000000,N,Y,18,Bronze,54,Thu,8.1,6/18/2020,,
2315,1,12000,Y,N,2,No Medal,54,Thu,1.8,6/18/2020,,
2316,16,16000000,Y,Y,113,Gold,54,Fri,1.8,6/19/2020,,
2317,1,8000,Y,N,21,Bronze,54,Fri,9.7,6/19/2020,,
2318,1,131000,Y,N,21,Bronze,54,Fri,10,6/19/2020,,
2319,6219,518000000,N,Y,15,Bronze,54,Fri,7.5,6/19/2020,,
2320,1,34000000,Y,N,25,Bronze,54,Fri,8.8,6/19/2020,,
2321,1,216000,Y,N,5,No Medal,54,Fri,2.9,6/19/2020,,
2322,1,32000000,Y,N,5,No Medal,54,Fri,7.1,6/19/2020,,
2323,1,4000,Y,N,1891,Gold,54,Sat,10,6/20/2020,,
2324,1,268000,Y,N,168,Silver,54,Sat,10,6/20/2020,,
2325,1,155000000,Y,N,13,Bronze,54,Sat,8.2,6/20/2020,,
2326,2,470000,Y,N,22,Bronze,54,Sat,4.1,6/20/2020,,
2327,1,100000000,N,Y,22,Bronze,54,Sat,4.4,6/20/2020,,
2328,1,4000000,Y,N,27,Bronze,54,Sat,8.5,6/20/2020,,
2329,2,3000000,N,Y,11,No Medal,54,Sat,6.3,6/20/2020,,
2330,57199,7000000000,Y,Y,118,Silver,54,Sun,7.1,6/21/2020,,
2331,4586,968000000,N,Y,64,Bronze,54,Sun,6.9,6/21/2020,,
2332,6,6000,Y,N,25,Bronze,54,Sun,10,6/21/2020,,
2333,150,146000000,Y,N,327,Gold,54,Mon,9.4,6/22/2020,,
2334,1140,103000000,Y,Y,20,Bronze,54,Mon,8.2,6/22/2020,,
2335,1790,189000000,N,Y,64,Bronze,54,Tue,8.8,6/23/2020,,
2336,3,9000000,Y,N,11,No Medal,54,Tue,9.7,6/23/2020,,
2337,2,6000000,Y,N,30,Bronze,54,Tue,8.8,6/23/2020,,
2338,3,13000000,Y,N,13,Bronze,54,Tue,5.3,6/23/2020,,
2339,3,203000,Y,N,4,No Medal,54,Tue,7.4,6/23/2020,,
2340,1,7000,Y,N,2,No Medal,54,Tue,7.4,6/23/2020,,
2341,19559,2000000000,N,Y,105,Bronze,54,Wed,8.8,6/24/2020,,
2342,1,3000,Y,N,339,Gold,54,Thu,7.1,6/25/2020,,
2343,1,268000,Y,N,52,Silver,54,Thu,9.4,6/25/2020,,
2344,1,17000,Y,N,39,Bronze,54,Thu,10,6/25/2020,,
2345,1,385000,N,Y,19,No Medal,54,Thu,6.5,6/25/2020,,
2346,1,195000,Y,N,19,Bronze,54,Fri,5.9,6/26/2020,,
2347,20581,724000000,Y,Y,6,No Medal,54,Fri,1.8,6/26/2020,,
2348,1,11000000,N,Y,12,No Medal,54,Fri,1.8,6/26/2020,,
2349,8198,399000000,Y,Y,1,No Medal,54,Fri,3.5,6/26/2020,,
2350,1,8000,Y,N,34,Bronze,54,Sat,10,6/27/2020,,
2351,4,3000,Y,N,54,Bronze,54,Sun,6.5,6/28/2020,,
2352,1,283,Y,N,56,No Medal,54,Sun,2.9,6/28/2020,,
2353,1,59000,Y,N,96,Gold,54,Sun,5.9,6/28/2020,,
2354,318717,4000000000,N,Y,12,No Medal,54,Sun,7.5,6/28/2020,,
2355,35889,76000000,N,Y,17,Bronze,54,Sun,7.5,6/28/2020,,
2356,1,575000,Y,N,10,No Medal,54,Sun,5.6,6/28/2020,,
2357,6899,179000000,N,Y,20,Bronze,54,Mon,8.1,6/29/2020,,
